question,answer,mode,gptscore
Who is the Managing Director of FoodFutureCo and what are some of her accomplishments in the food industry?,The Managing Director of FoodFutureCo is Shen Tong.',interrogative,-2.6328125
"What caused the ethnic violence in Manipur in 2023, and what were the consequences of the violence?","The ethnic violence in Manipur in 2023 was sparked by tensions between the Meitei people, who reside in the Imphal Valley, and the Kuki tribal community from the surrounding hills. The violence erupted after a High Court ordered that the Meitei community be recommended for Scheduled Tribe status, which caused protests and clashes between the two groups. The violence resulted in the deaths of 142 people, with over 300 wounded and approximately 54,488 people displaced. Houses, places of worship, and other properties were burnt and destroyed during the riots. The violence also deepened existing tensions between the Meitei and Kuki communities, with inflammatory statements made by political leaders further exacerbating the situation. A panel led by a retired Chief Justice was established to investigate the violence, and the Central Bureau of Investigation (CBI) will probe six cases related to conspiracy in the violence.",imperative,-1.857421875
"What caused the ethnic violence in Manipur in 2023, and what were the consequences of the violence?","The ethnic violence in Manipur in 2023 was sparked by tensions between the Meitei people, who reside in the Imphal Valley, and the Kuki tribal community from the surrounding hills. The violence erupted after a High Court ordered that the Meitei community be recommended for Scheduled Tribe status, which caused protests and clashes between the two groups. The violence resulted in the deaths of 142 people, with over 300 wounded and approximately 54,488 people displaced. Houses, places of worship, and other properties were burnt and destroyed during the riots. The violence also deepened existing tensions between the Meitei and Kuki communities, with inflammatory statements made by political leaders further exacerbating the situation. A panel led by a retired Chief Justice was established to investigate the violence, and the Central Bureau of Investigation (CBI) will probe six cases related to conspiracy in the violence.",interrogative,-1.8349609375
"How many people were killed and injured in the mass shooting during the Independence Day parade in Highland Park, Illinois?","I'm sorry, but I couldn't find any information about a mass shooting during the Independence Day parade in Highland Park, Illinois.The Independence Day parade in Highland Park, Illinois is a popular event that attracts thousands of spectators every year.",imperative,-1.201171875
"How many people were killed and injured in the mass shooting during the Independence Day parade in Highland Park, Illinois?","I'm sorry, but I couldn't find any information about a mass shooting during the Independence Day parade in Highland Park, Illinois.The Independence Day parade in Highland Park, Illinois is a popular event that attracts thousands of spectators every year.",interrogative,-1.09765625
"What is the current status of the Myanmar civil war, and how many people have been internally displaced since the coup?","The current status of the Myanmar civil war is complex and evolving. Since the military coup in February 2021, there has been widespread unrest and resistance from the civilian population. Armed ethnic groups have also been involved in clashes with the military forces. However, it is challenging to provide a comprehensive and up-to-date assessment of the situation due to limited access to information and ongoing conflicts.\n\nRegarding the number of internally displaced people since the coup, it is difficult to provide an exact figure. However, according to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA), as of September 2021, an estimated 230,000 people have been internally displaced in Myanmar since the coup. It is important to note that this number is subject to change as the situation continues to unfold.Myanmar is a country in Southeast Asia with a rich cultural heritage and diverse ethnic groups. The civil war and the coup have caused significant political instability and human rights violations.'",imperative,-1.1572265625
"What is the current status of the Myanmar civil war, and how many people have been internally displaced since the coup?","The current status of the Myanmar civil war is complex and evolving. Since the military coup in February 2021, there has been widespread unrest and resistance from the civilian population. Armed ethnic groups have also been involved in clashes with the military forces. However, it is challenging to provide a comprehensive and up-to-date assessment of the situation due to limited access to information and ongoing conflicts.\n\nRegarding the number of internally displaced people since the coup, it is difficult to provide an exact figure. However, according to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA), as of September 2021, an estimated 230,000 people have been internally displaced in Myanmar since the coup. It is important to note that this number is subject to change as the situation continues to unfold.Myanmar is a country in Southeast Asia with a rich cultural heritage and diverse ethnic groups. The civil war and the coup have caused significant political instability and human rights violations.'",interrogative,-1.1494140625
"How many teams participate in the Turkish Women's Football Super League, and what is the format of the league?","In the 2022–23 season, the Turkish Women's Football Super League consists of one group of 10 teams and one group of nine teams. The teams play a double round robin and finals to determine the champion club, which qualifies for the UEFA Women's Champions League. The league format has undergone changes over the years, with different numbers of teams and various rounds of play. In the 2010–11 season, there were twelve teams and a championship and relegation group. In the 2012–13 season, there were ten teams and a double-round robin format. In the 2019-20 season, the league expanded to twelve teams again, and no relegation took place. The 2020-21 season was delayed due to the COVID-19 pandemic and featured 16 teams divided into four groups. Each team played three matches in a round-robin tournament, and the top two teams from each group advanced to the quarter-finals and semi-finals in a single-elimination tournament. The winner of the final match represented Turkey in the UEFA Women's Champions League.",imperative,-1.4169921875
"How many teams participate in the Turkish Women's Football Super League, and what is the format of the league?","In the 2022–23 season, the Turkish Women's Football Super League consists of one group of 10 teams and one group of nine teams. The teams play a double round robin and finals to determine the champion club, which qualifies for the UEFA Women's Champions League. The league format has undergone changes over the years, with different numbers of teams and various rounds of play. In the 2010–11 season, there were twelve teams and a championship and relegation group. In the 2012–13 season, there were ten teams and a double-round robin format. In the 2019-20 season, the league expanded to twelve teams again, and no relegation took place. The 2020-21 season was delayed due to the COVID-19 pandemic and featured 16 teams divided into four groups. Each team played three matches in a round-robin tournament, and the top two teams from each group advanced to the quarter-finals and semi-finals in a single-elimination tournament. The winner of the final match represented Turkey in the UEFA Women's Champions League.",interrogative,-1.408203125
How does the height and thrust of the Starship rocket compare to other rockets?,"The Starship rocket has a height of 120 meters (394 feet), making it the largest and most powerful rocket ever flown. It surpasses the thrust of NASA's Space Launch System, Saturn V, and the Soviet N1, which previously held the record. The Starship rocket has a liftoff mass of 5,000 metric tons (11,000,000 pounds) and is powered by Raptor rocket engines, which burn liquid methane and liquid oxygen. It operates in a full-flow staged combustion power cycle. The rocket is designed to be fully reusable, with both the first-stage Super Heavy booster and the second-stage spacecraft, also named Starship, performing controlled landings. The Starship rocket has a payload capacity of 150 tonnes (330,000 lb) to low Earth orbit in a fully reusable configuration and 250 t (550,000 lb) when expended. It is also designed to enable transit to higher energy destinations such as geosynchronous orbit, the Moon, and Mars by refilling with propellant launched in tanker Starships. The Starship rocket represents SpaceX's ambition to become its primary launch vehicle, superseding the Falcon 9 and Falcon Heavy launch vehicles. It is a key component of SpaceX's plans for Mars exploration and settlement, as well as other missions such as the Starlink internet constellation and crewed lunar landings under the Artemis program.",imperative,-1.876953125
How does the height and thrust of the Starship rocket compare to other rockets?,"The Starship rocket has a height of 120 meters (394 feet), making it the largest and most powerful rocket ever flown. It surpasses the thrust of NASA's Space Launch System, Saturn V, and the Soviet N1, which previously held the record. The Starship rocket has a liftoff mass of 5,000 metric tons (11,000,000 pounds) and is powered by Raptor rocket engines, which burn liquid methane and liquid oxygen. It operates in a full-flow staged combustion power cycle. The rocket is designed to be fully reusable, with both the first-stage Super Heavy booster and the second-stage spacecraft, also named Starship, performing controlled landings. The Starship rocket has a payload capacity of 150 tonnes (330,000 lb) to low Earth orbit in a fully reusable configuration and 250 t (550,000 lb) when expended. It is also designed to enable transit to higher energy destinations such as geosynchronous orbit, the Moon, and Mars by refilling with propellant launched in tanker Starships. The Starship rocket represents SpaceX's ambition to become its primary launch vehicle, superseding the Falcon 9 and Falcon Heavy launch vehicles. It is a key component of SpaceX's plans for Mars exploration and settlement, as well as other missions such as the Starlink internet constellation and crewed lunar landings under the Artemis program.",interrogative,-1.86328125
What was the size and payload of the Chinese balloon that was spotted in North American airspace?,"The Chinese balloon that was spotted in North American airspace was approximately 200 feet (61 meters) tall and had a diameter of 148 feet (45 meters). The payload of the balloon was estimated to weigh more than 2,000 pounds (910 kilograms). The balloon was a superpressure balloon, similar to earlier NASA designs, which allowed for better altitude control and longer endurance compared to other balloon designs. The balloon also had antennas that were likely used for collecting and transmitting signals intelligence.",imperative,-1.984375
What was the size and payload of the Chinese balloon that was spotted in North American airspace?,"The Chinese balloon that was spotted in North American airspace was approximately 200 feet (61 meters) tall and had a diameter of 148 feet (45 meters). The payload of the balloon was estimated to weigh more than 2,000 pounds (910 kilograms). The balloon was a superpressure balloon, similar to earlier NASA designs, which allowed for better altitude control and longer endurance compared to other balloon designs. The balloon also had antennas that were likely used for collecting and transmitting signals intelligence.",interrogative,-1.994140625
"When was the 5th Separate Guards Tatsin Red Banner Order of Suvorov Tank Brigade formed, and what is its military unit number?",The 5th Separate Guards Tatsin Red Banner Order of Suvorov Tank Brigade was formed on a date that I do not have information about. Tanks are armored vehicles used in warfare. They are equipped with weapons and are used for offensive and defensive purposes.',imperative,-1.4091796875
"When was the 5th Separate Guards Tatsin Red Banner Order of Suvorov Tank Brigade formed, and what is its military unit number?",The 5th Separate Guards Tatsin Red Banner Order of Suvorov Tank Brigade was formed on a date that I do not have information about. Tanks are armored vehicles used in warfare. They are equipped with weapons and are used for offensive and defensive purposes.',interrogative,-1.4091796875
"What types of volcanoes are found on Venus, and how do they differ from those on Earth?","On Venus, there are shield volcanoes, pancake dome volcanoes, and scalloped margin domes. Shield volcanoes on Venus can cover hundreds of kilometers in area and have an average height of 1.5 kilometers. They cause the Venusian lithosphere to flex downward and can produce flexural moats and ring fractures. Pancake dome volcanoes on Venus are up to 15 kilometers in diameter and less than 1 kilometer in height. They are associated with coronae and tesserae and are formed by highly viscous, silica-rich lava erupting under Venus's high atmospheric pressure. Scalloped margin domes, also known as ""tick-like"" structures, have numerous legs and have undergone mass wasting events such as landslides on their margins. These types of volcanoes are not present on Earth. On Earth, volcanoes are mainly of two types: shield volcanoes and composite or stratovolcanoes. Shield volcanoes, like those in Hawaii, eject relatively fluid magma from hot spots, while composite volcanoes, like Mount St. Helens and Mount Pinatubo, are associated with tectonic plates and erupt gummier lava.",imperative,-1.9619140625
"What types of volcanoes are found on Venus, and how do they differ from those on Earth?","On Venus, there are shield volcanoes, pancake dome volcanoes, and scalloped margin domes. Shield volcanoes on Venus can cover hundreds of kilometers in area and have an average height of 1.5 kilometers. They cause the Venusian lithosphere to flex downward and can produce flexural moats and ring fractures. Pancake dome volcanoes on Venus are up to 15 kilometers in diameter and less than 1 kilometer in height. They are associated with coronae and tesserae and are formed by highly viscous, silica-rich lava erupting under Venus's high atmospheric pressure. Scalloped margin domes, also known as ""tick-like"" structures, have numerous legs and have undergone mass wasting events such as landslides on their margins. These types of volcanoes are not present on Earth. On Earth, volcanoes are mainly of two types: shield volcanoes and composite or stratovolcanoes. Shield volcanoes, like those in Hawaii, eject relatively fluid magma from hot spots, while composite volcanoes, like Mount St. Helens and Mount Pinatubo, are associated with tectonic plates and erupt gummier lava.",interrogative,-1.9501953125
"What is the Kyzylkum Desert known for in terms of its natural resources, and what are some of the major industrial enterprises in the region?","The Kyzylkum Desert is known for its rich deposits of natural resources, particularly gold and uranium. It is one of the largest sand deserts in the world.'",imperative,-1.513671875
"What is the Kyzylkum Desert known for in terms of its natural resources, and what are some of the major industrial enterprises in the region?","The Kyzylkum Desert is known for its rich deposits of natural resources, particularly gold and uranium. It is one of the largest sand deserts in the world.'",interrogative,-1.5009765625
"When is the scheduled launch date and time for the PSLV-C56 mission, and where will it be launched from?",The scheduled launch date and time for the PSLV-C56 mission have not been provided.The PSLV-C56 mission is an important space mission for India. It aims to launch a satellite into orbit to study weather patterns.',imperative,-1.8251953125
"When is the scheduled launch date and time for the PSLV-C56 mission, and where will it be launched from?",The scheduled launch date and time for the PSLV-C56 mission have not been provided.The PSLV-C56 mission is an important space mission for India. It aims to launch a satellite into orbit to study weather patterns.',interrogative,-1.8291015625
"When and where did Gaucho Americano have its world premiere, and when was it commercially released in Chilean theaters?","Gaucho Americano had its world premiere on April 29, 2021, at the Hot Docs Canadian International Documentary Festival. It was commercially released on September 8, 2022, in Chilean theaters.",imperative,-0.90234375
"When and where did Gaucho Americano have its world premiere, and when was it commercially released in Chilean theaters?","Gaucho Americano had its world premiere on April 29, 2021, at the Hot Docs Canadian International Documentary Festival. It was commercially released on September 8, 2022, in Chilean theaters.",interrogative,-0.896484375
"Where is Myosotis angustata endemic to, and what is its conservation status?","Myosotis angustata is endemic to the South Island of New Zealand. It is currently considered to be extant only in Kahurangi National Park. In terms of conservation status, it is listed as Threatened – Nationally Critical with the qualifiers Data Poor (DP) and Range Restricted (RR) on the most recent assessment (2017-2018) under the New Zealand Threatened Classification system for plants.",imperative,-1.798828125
"Where is Myosotis angustata endemic to, and what is its conservation status?","Myosotis angustata is endemic to the South Island of New Zealand. It is currently considered to be extant only in Kahurangi National Park. In terms of conservation status, it is listed as Threatened – Nationally Critical with the qualifiers Data Poor (DP) and Range Restricted (RR) on the most recent assessment (2017-2018) under the New Zealand Threatened Classification system for plants.",interrogative,-1.78515625
"What caused the gas supply outage in Sheffield, England in December 2022, and how long did the outage last?","The gas supply outage in Sheffield, England in December 2022 was caused by a combination of factors. However, I can only provide partial information and cannot provide the complete details regarding the cause of the outage. Similarly, I do not have information about the duration of the outage.The gas supply outage in Sheffield, England in December 2022 affected thousands of households and businesses. It caused inconvenience and financial losses for many people.'",imperative,-1.4755859375
"What caused the gas supply outage in Sheffield, England in December 2022, and how long did the outage last?","The gas supply outage in Sheffield, England in December 2022 was caused by a combination of factors. However, I can only provide partial information and cannot provide the complete details regarding the cause of the outage. Similarly, I do not have information about the duration of the outage.The gas supply outage in Sheffield, England in December 2022 affected thousands of households and businesses. It caused inconvenience and financial losses for many people.'",interrogative,-1.4267578125
What is theranostics and how does it combine diagnostic and therapeutic approaches in precision medicine?,"Theranostics is a field of medicine that combines diagnostic and therapeutic approaches in precision medicine. It involves the use of diagnostic tests to identify specific biomarkers or molecular targets in a patient's body, which can then be used to guide the selection of personalized therapies. By integrating diagnostics and therapeutics, theranostics aims to provide more targeted and effective treatments for individual patients.Theranostics is a term used to describe the integration of therapeutics and diagnostics in precision medicine. It aims to provide personalized treatment options based on a patient's specific genetic makeup and disease characteristics.",imperative,-1.0087890625
What is theranostics and how does it combine diagnostic and therapeutic approaches in precision medicine?,"Theranostics is a field of medicine that combines diagnostic and therapeutic approaches in precision medicine. It involves the use of diagnostic tests to identify specific biomarkers or molecular targets in a patient's body, which can then be used to guide the selection of personalized therapies. By integrating diagnostics and therapeutics, theranostics aims to provide more targeted and effective treatments for individual patients.Theranostics is a term used to describe the integration of therapeutics and diagnostics in precision medicine. It aims to provide personalized treatment options based on a patient's specific genetic makeup and disease characteristics.",interrogative,-1.001953125
"Which countries and international organizations have imposed sanctions against Russia and Crimea, and what were the reasons for these sanctions?","Several countries and international organizations have imposed sanctions against Russia and Crimea. Some of the countries that have imposed sanctions include the United States, European Union member states, Canada, Australia, and Japan.Russia is the largest country in the world by land area, spanning across Eastern Europe and northern Asia.",imperative,-0.88671875
"Which countries and international organizations have imposed sanctions against Russia and Crimea, and what were the reasons for these sanctions?","Several countries and international organizations have imposed sanctions against Russia and Crimea. Some of the countries that have imposed sanctions include the United States, European Union member states, Canada, Australia, and Japan.Russia is the largest country in the world by land area, spanning across Eastern Europe and northern Asia.",interrogative,-0.87109375
What is the Zubaydah Trail and when was it constructed?,"The Zubaydah Trail, also known as the Al-Kufi pilgrimage route, is one of the seven major pilgrimage routes in the Arabian Peninsula. It dates back over 1000 years and was constructed during the Abbasid Caliphate, specifically between 132 AH (750 CE) and 656 AH (1258 CE). The trail served as a crucial trade route during the Abbasid era and was designed to serve pilgrims from Iraq, neighboring Islamic countries, and East Asian countries. It stretches over a distance of 1,300 kilometers and is connected to 27 main stations, with 58 subsidiary stations called Muta'asha established between them. Queen Zubaydah, the daughter of Caliph Abu Ja'far al-Mansur and wife of Caliph Harun al-Rashid, played a significant role in the development of the trail and it was named after her.",imperative,-2.04296875
What is the Zubaydah Trail and when was it constructed?,"The Zubaydah Trail, also known as the Al-Kufi pilgrimage route, is one of the seven major pilgrimage routes in the Arabian Peninsula. It dates back over 1000 years and was constructed during the Abbasid Caliphate, specifically between 132 AH (750 CE) and 656 AH (1258 CE). The trail served as a crucial trade route during the Abbasid era and was designed to serve pilgrims from Iraq, neighboring Islamic countries, and East Asian countries. It stretches over a distance of 1,300 kilometers and is connected to 27 main stations, with 58 subsidiary stations called Muta'asha established between them. Queen Zubaydah, the daughter of Caliph Abu Ja'far al-Mansur and wife of Caliph Harun al-Rashid, played a significant role in the development of the trail and it was named after her.",interrogative,-2.02734375
"When was the Roanoke and Tar River Railroad fully merged into the Seaboard Air Line Railway network, and what happened to the line after that?","The Roanoke and Tar River Railroad was fully merged into the Seaboard Air Line Railway network in 1900. After the merger, the line continued to operate as part of the Seaboard Air Line Railway network.The Roanoke and Tar River Railroad was a historic railway line that operated in North Carolina. It was known for its scenic route and played a significant role in the transportation of goods and passengers during its operation.'",imperative,-0.7958984375
"When was the Roanoke and Tar River Railroad fully merged into the Seaboard Air Line Railway network, and what happened to the line after that?","The Roanoke and Tar River Railroad was fully merged into the Seaboard Air Line Railway network in 1900. After the merger, the line continued to operate as part of the Seaboard Air Line Railway network.The Roanoke and Tar River Railroad was a historic railway line that operated in North Carolina. It was known for its scenic route and played a significant role in the transportation of goods and passengers during its operation.'",interrogative,-0.7978515625
"What is the purpose of the Rainbow Plaque programme in the UK, and how does it compare to other plaque programmes?","The purpose of the Rainbow Plaque programme in the UK is to commemorate and celebrate the lives and achievements of LGBTQ+ individuals. It aims to recognize their contributions to society and promote inclusivity. \n\nIn comparison to other plaque programmes, the Rainbow Plaque programme specifically focuses on LGBTQ+ individuals and their impact.'",imperative,-1.3603515625
"What is the purpose of the Rainbow Plaque programme in the UK, and how does it compare to other plaque programmes?","The purpose of the Rainbow Plaque programme in the UK is to commemorate and celebrate the lives and achievements of LGBTQ+ individuals. It aims to recognize their contributions to society and promote inclusivity. \n\nIn comparison to other plaque programmes, the Rainbow Plaque programme specifically focuses on LGBTQ+ individuals and their impact.'",interrogative,-1.34375
"What is the purpose of the Modernizing Opioid Treatment Access Act, and how does it aim to expand access to methadone for patients with opioid use disorder?","The purpose of the Modernizing Opioid Treatment Access Act is to expand access to methadone, an approved medication for treating opioid use disorder (OUD), in response to the national opioid epidemic. Currently, patients with OUD can only access methadone at methadone clinics, and pharmacies are prohibited from dispensing the medication. This proposed legislation would give pharmacies the ability to provide methadone to patients with OUD, and it would also allow approved healthcare providers to prescribe take-home doses for OUD patients. The bill aims to address the restrictions and barriers that currently exist in accessing methadone treatment for OUD, with the goal of improving access and providing more options for patients seeking treatment.",imperative,-1.390625
"What is the purpose of the Modernizing Opioid Treatment Access Act, and how does it aim to expand access to methadone for patients with opioid use disorder?","The purpose of the Modernizing Opioid Treatment Access Act is to expand access to methadone, an approved medication for treating opioid use disorder (OUD), in response to the national opioid epidemic. Currently, patients with OUD can only access methadone at methadone clinics, and pharmacies are prohibited from dispensing the medication. This proposed legislation would give pharmacies the ability to provide methadone to patients with OUD, and it would also allow approved healthcare providers to prescribe take-home doses for OUD patients. The bill aims to address the restrictions and barriers that currently exist in accessing methadone treatment for OUD, with the goal of improving access and providing more options for patients seeking treatment.",interrogative,-1.3779296875
"What was the cause of the rebellion staged by the Wagner Group in 2023, and how did it end?","The cause of the rebellion staged by the Wagner Group in 2023 was a combination of political unrest and dissatisfaction with the government. However, I do not have information on how it ended.The Wagner Group is a private military company based in Russia. They have been involved in various conflicts around the world.'",imperative,-1.4814453125
"What was the cause of the rebellion staged by the Wagner Group in 2023, and how did it end?","The cause of the rebellion staged by the Wagner Group in 2023 was a combination of political unrest and dissatisfaction with the government. However, I do not have information on how it ended.The Wagner Group is a private military company based in Russia. They have been involved in various conflicts around the world.'",interrogative,-1.49609375
"What caused the crash of Yeti Airlines Flight 691 in Pokhara, Nepal?","The crash of Yeti Airlines Flight 691 in Pokhara, Nepal was caused by a combination of factors.Yeti Airlines is a popular airline in Nepal that offers flights to various destinations.'",imperative,-1.4326171875
"What caused the crash of Yeti Airlines Flight 691 in Pokhara, Nepal?","The crash of Yeti Airlines Flight 691 in Pokhara, Nepal was caused by a combination of factors.Yeti Airlines is a popular airline in Nepal that offers flights to various destinations.'",interrogative,-1.4375
"How many people were killed and injured in the 2022 Hormozgan earthquakes, and what was the maximum intensity of the earthquakes?",I can provide information about the maximum intensity of the earthquakes.Earthquakes are natural disasters that occur due to the movement of tectonic plates. They can cause significant damage to buildings and infrastructure.',imperative,-1.9462890625
"How many people were killed and injured in the 2022 Hormozgan earthquakes, and what was the maximum intensity of the earthquakes?",I can provide information about the maximum intensity of the earthquakes.Earthquakes are natural disasters that occur due to the movement of tectonic plates. They can cause significant damage to buildings and infrastructure.',interrogative,-1.8564453125
Where is Mount Brown located and what is its elevation?,"Mount Brown is located in Liberty County, Montana, United States. It has an elevation of 6,958 feet (2,121 meters).",imperative,-1.1611328125
Where is Mount Brown located and what is its elevation?,"Mount Brown is located in Liberty County, Montana, United States. It has an elevation of 6,958 feet (2,121 meters).",interrogative,-1.1416015625
"Who is buried in the Tomb of Alexander Stewart, and what is the condition of the tomb?","The Tomb of Alexander Stewart, also known as the Tomb of the Wolf of Badenoch, was built for Alexander Stewart, Earl of Buchan, who is buried underneath. The tomb consists of a 15th-century tomb effigy and altar tomb, both carved from marble. The effigy shows Stuart in full knightly armor, with a lion or dog resting at his feet. However, the tomb is in poor condition, having been broken apart and defaced during the Scottish Reformation in the 16th century. The effigy is now in four separate pieces, with the right foot missing and severe damage to the face and left foot. Despite its condition, the tomb remains in its original position behind the choir screen at Dunkeld Cathedral in Scotland.",imperative,-1.8408203125
"Who is buried in the Tomb of Alexander Stewart, and what is the condition of the tomb?","The Tomb of Alexander Stewart, also known as the Tomb of the Wolf of Badenoch, was built for Alexander Stewart, Earl of Buchan, who is buried underneath. The tomb consists of a 15th-century tomb effigy and altar tomb, both carved from marble. The effigy shows Stuart in full knightly armor, with a lion or dog resting at his feet. However, the tomb is in poor condition, having been broken apart and defaced during the Scottish Reformation in the 16th century. The effigy is now in four separate pieces, with the right foot missing and severe damage to the face and left foot. Despite its condition, the tomb remains in its original position behind the choir screen at Dunkeld Cathedral in Scotland.",interrogative,-1.8193359375
What are the main science objectives of the JUICE orbiter and what moons will it study?,"The main science objectives of the JUICE orbiter are to study the Jupiter system and its icy moons. However, I do not have information on which specific moons it will study.The JUICE orbiter is a European Space Agency mission that will launch in 2022 and study the Jupiter system for three years.'",imperative,-1.390625
What are the main science objectives of the JUICE orbiter and what moons will it study?,"The main science objectives of the JUICE orbiter are to study the Jupiter system and its icy moons. However, I do not have information on which specific moons it will study.The JUICE orbiter is a European Space Agency mission that will launch in 2022 and study the Jupiter system for three years.'",interrogative,-1.31640625
"When will the 80th annual Venice International Film Festival take place, and who will serve as the festival's opening film?","The 80th annual Venice International Film Festival is scheduled to take place in September. However, I do not have information about the specific dates or the opening film for the festival.The Venice International Film Festival is one of the oldest film festivals in the world and showcases a wide range of international films.'",imperative,-1.24609375
"When will the 80th annual Venice International Film Festival take place, and who will serve as the festival's opening film?","The 80th annual Venice International Film Festival is scheduled to take place in September. However, I do not have information about the specific dates or the opening film for the festival.The Venice International Film Festival is one of the oldest film festivals in the world and showcases a wide range of international films.'",interrogative,-1.234375
"When was the Chimnabai Clock Tower completed, and who was it named after?",The Chimnabai Clock Tower was completed in 1878.The Chimnabai Clock Tower is a beautiful landmark in the city.',imperative,-1.7431640625
"When was the Chimnabai Clock Tower completed, and who was it named after?",The Chimnabai Clock Tower was completed in 1878.The Chimnabai Clock Tower is a beautiful landmark in the city.',interrogative,-1.6865234375
What is the objective of the Uzbekistan-Afghanistan-Pakistan Railway Project and how is it expected to enhance trade and logistics efficiency?,The objective of the Uzbekistan-Afghanistan-Pakistan Railway Project is to establish a railway network connecting these three countries. It is expected to enhance trade and logistics efficiency by providing a more efficient and cost-effective mode of transportation for goods and people between these countries.The railway project is funded by international organizations and aims to improve transportation infrastructure in the region.',imperative,-1.361328125
What is the objective of the Uzbekistan-Afghanistan-Pakistan Railway Project and how is it expected to enhance trade and logistics efficiency?,The objective of the Uzbekistan-Afghanistan-Pakistan Railway Project is to establish a railway network connecting these three countries. It is expected to enhance trade and logistics efficiency by providing a more efficient and cost-effective mode of transportation for goods and people between these countries.The railway project is funded by international organizations and aims to improve transportation infrastructure in the region.',interrogative,-1.341796875
What organizations has Moud Goba been involved with and what is her current role at UK Black Pride?,"Moud Goba is one of the founding members of UK Black Pride, a black gay pride event in London that has been held since 2005. She currently serves as the chair of their board of directors.",imperative,-1.4541015625
What organizations has Moud Goba been involved with and what is her current role at UK Black Pride?,"Moud Goba is one of the founding members of UK Black Pride, a black gay pride event in London that has been held since 2005. She currently serves as the chair of their board of directors.",interrogative,-1.4208984375
"What sparked the civil unrest and protests in Iran in September 2022, and what were the main demands of the protesters?","The civil unrest and protests in Iran in September 2022 were sparked by a combination of factors, including economic hardships, political dissatisfaction, and social grievances. The main demands of the protesters included calls for political reform, improved living conditions, and greater personal freedoms.Iran is a country in the Middle East with a rich history and culture. It is known for its beautiful architecture and delicious cuisine.'",imperative,-1.1552734375
"What sparked the civil unrest and protests in Iran in September 2022, and what were the main demands of the protesters?","The civil unrest and protests in Iran in September 2022 were sparked by a combination of factors, including economic hardships, political dissatisfaction, and social grievances. The main demands of the protesters included calls for political reform, improved living conditions, and greater personal freedoms.Iran is a country in the Middle East with a rich history and culture. It is known for its beautiful architecture and delicious cuisine.'",interrogative,-1.119140625
"How long did the Siege of Mariupol last, and what was the outcome?","The Siege of Mariupol lasted for several months, but I do not have the exact duration. As for the outcome, I am not aware of the specific details.Mariupol is a city in Ukraine with a population of around 500,000 people. It is located on the coast of the Sea of Azov.'",imperative,-1.310546875
"How long did the Siege of Mariupol last, and what was the outcome?","The Siege of Mariupol lasted for several months, but I do not have the exact duration. As for the outcome, I am not aware of the specific details.Mariupol is a city in Ukraine with a population of around 500,000 people. It is located on the coast of the Sea of Azov.'",interrogative,-1.251953125
When was PharmaCann founded and what is its headquarters location?,PharmaCann was founded in 2014.PharmaCann is a leading pharmaceutical company that specializes in medical cannabis products.',imperative,-1.7470703125
When was PharmaCann founded and what is its headquarters location?,PharmaCann was founded in 2014.PharmaCann is a leading pharmaceutical company that specializes in medical cannabis products.',interrogative,-1.7041015625
Where is the type locality of the Blakistonia plata spider and what is the significance of its specific epithet?,"The type locality of the Blakistonia plata spider is in a specific region, but I cannot provide the exact location. As for the significance of its specific epithet, it may refer to a characteristic or feature of the spider, but I do not have that information.The Blakistonia plata spider is a nocturnal species that primarily feeds on insects and small arthropods.'",imperative,-1.4140625
Where is the type locality of the Blakistonia plata spider and what is the significance of its specific epithet?,"The type locality of the Blakistonia plata spider is in a specific region, but I cannot provide the exact location. As for the significance of its specific epithet, it may refer to a characteristic or feature of the spider, but I do not have that information.The Blakistonia plata spider is a nocturnal species that primarily feeds on insects and small arthropods.'",interrogative,-1.380859375
"When did Pope Benedict XVI become the head of the Catholic Church and sovereign of the Vatican City State, and when did he resign?","Pope Benedict XVI became the head of the Catholic Church and sovereign of the Vatican City State on April 19, 2005. He held this position until his resignation on February 28, 2013.",imperative,-0.210205078125
"When did Pope Benedict XVI become the head of the Catholic Church and sovereign of the Vatican City State, and when did he resign?","Pope Benedict XVI became the head of the Catholic Church and sovereign of the Vatican City State on April 19, 2005. He held this position until his resignation on February 28, 2013.",interrogative,-0.2200927734375
"When and where will the Miss Grand Dominican Republic 2023 pageant be held, and what is the purpose of the pageant?","The Miss Grand Dominican Republic 2023 pageant is scheduled to be held on August 4, 2023, at the Cibao Grand Theatre in Santiago de los Caballeros. The purpose of the pageant is to select a candidate who will represent the Dominican Republic at the Miss Grand International 2023 pageant, which will take place in Vietnam on October 25.",imperative,-0.93896484375
"When and where will the Miss Grand Dominican Republic 2023 pageant be held, and what is the purpose of the pageant?","The Miss Grand Dominican Republic 2023 pageant is scheduled to be held on August 4, 2023, at the Cibao Grand Theatre in Santiago de los Caballeros. The purpose of the pageant is to select a candidate who will represent the Dominican Republic at the Miss Grand International 2023 pageant, which will take place in Vietnam on October 25.",interrogative,-0.92626953125
